"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00204",0.262367262342701,0.225764089451709,0.295234494747246,"Coriobacteriaceae"
"Otu00253",0.260012896261128,0.228128340673687,0.284017493115171,"Ruminococcaceae"
"Otu00427",0.259989317302776,0.226190237510584,0.28466752856227,"Porphyromonadaceae"
"Otu00141",0.254712832572469,0.215071044552244,0.277027462478638,"Clostridium_XlVa"
"Otu00450",0.253314894655454,0.226673020012589,0.285742466759878,"Bacteria"
"Otu00311",0.252905298732105,0.218971800395734,0.288142255957831,"Streptococcus"
"Otu00185",0.252262138938955,0.214982845578972,0.282351331704594,"Lachnospiraceae"
"Otu00382",0.251650383427086,0.204576338314952,0.28589458774927,"Ruminococcaceae"
"Otu00371",0.250524305424843,0.19878215173847,0.279860733677396,"Firmicutes"
"Otu00266",0.24950896108813,0.207880822083114,0.280889798495632,"Actinomyces"
"Otu00487",0.249277213239674,0.218057315684918,0.299084185648931,"Gemella"
"Otu00383",0.247486520236979,0.199037052911733,0.283906572509262,"Ruminococcaceae"
"Otu00429",0.244225285922891,0.22182367941317,0.277186623529355,"Lachnospiraceae"
"Otu00176",0.243943336296554,0.212336246073455,0.287120764052283,"Clostridium_sensu_stricto"
"Otu00258",0.243447249875414,0.20759290412153,0.270783635641348,"Bacteroides"
"Otu00250",0.240578985278382,0.208977635822712,0.319060910614511,"Ruminococcus"
"Otu00448",0.240281368367711,0.210358704979518,0.295328797782985,"Alistipes"
"Otu00408",0.239764138959355,0.208202254633146,0.273020831972566,"Bacteroidetes"
"Otu00255",0.239557003210356,0.197943058035483,0.297012830288737,"Ruminococcus"
"Otu00326",0.238524155071474,0.21181338553959,0.271307725759871,"Streptococcus"
"Otu00203",0.238426390525534,0.208772671299127,0.27540075825905,"Ruminococcaceae"
"Otu00455",0.238161261266634,0.195253870475886,0.259874185053499,"Ruminococcaceae"
"Otu00465",0.238044330138535,0.210961609771609,0.284618945492136,"Clostridiales"
"Otu00462",0.237299024984213,0.20021796912271,0.26802728474161,"Gordonibacter"
"Otu00032",0.235486720945425,0.212031001100379,0.26251780797217,"Prevotella"
"Otu00242",0.235370854900165,0.192320665677545,0.300688203128234,"Ruminococcus"
"Otu00578",0.235159053975784,0.198965344219115,0.270976470471308,"Ruminococcaceae"
"Otu00473",0.234403022857176,0.207986891616786,0.268857031836954,"Clostridiales"
