sample_name,cluster_group,final_abund
SRR5665030,6,115.22087621787446
SRR5665030,7,8901.73638833657
SRR5665030,8,13103.068199396504
SRR5665030,9,132.22201684457175
SRR5665030,10,0
SRR5665030,11,0
SRR5665030,12,8887.899944825664
SRR5665030,13,0
SRR5665030,14,4629.886432299974
SRR5665030,15,0
SRR5665030,16,0
SRR5665030,17,3272.57739961952
SRR5665030,18,271.87804620117424
SRR5665030,19,9700.710173842228
SRR5665030,20,0
SRR5665030,21,2662.1235700303664
SRR5665030,22,0
SRR5665030,23,537.4730858941189
SRR5665030,24,0
SRR5665030,25,3032.865492528803
SRR5665030,26,0
SRR5665030,27,0
SRR5665030,28,5.658901946761786
SRR5665030,29,0
SRR5665030,30,76813.54740419547
SRR5665030,31,70354.54285211512
SRR5665030,32,0
SRR5665030,33,47.075023475161345
SRR5665030,34,76.82851874615858
SRR5665030,35,6004.52066807193
SRR5665030,36,0
SRR5665030,37,0
SRR5665030,38,0
SRR5665030,39,1489.2382606578833
SRR5665030,40,45.30983101593481
SRR5665030,41,0
SRR5665030,42,841.6025854526207
SRR5665030,43,53374.7010068027
SRR5665030,44,0
SRR5665030,45,0
SRR5665030,46,1241.651433296835
SRR5665030,47,214.55369634764156
SRR5665030,48,7837.742112249156
SRR5665030,49,14265.082348850136
SRR5665030,50,2667.657461650686
SRR5665030,51,15542.16706287868
SRR5665030,52,1415.762151958471
SRR5665030,53,271.55331119085906
SRR5665030,54,0
SRR5665030,55,468.2511307755931
SRR5665030,56,0
SRR5665030,57,89483.11104622169
SRR5665030,58,0
SRR5665030,59,0
SRR5665030,60,0
SRR5665030,61,23436.207358188876
SRR5665030,62,0
SRR5665030,63,2.0162794402001762
SRR5665030,64,34.18707168956819
SRR5665030,65,0
SRR5665030,66,642.888118759768
SRR5665030,67,18541.81164010014
SRR5665030,68,0
SRR5665030,69,0
SRR5665030,70,0
SRR5665030,71,6071.483544756099
SRR5665030,72,6944.444444444444
SRR5665030,73,0
SRR5665030,74,3311.2582781456954
SRR5665030,75,2364.782092501065
SRR5665031,0,166.7379321312795
SRR5665031,1,208.7840164130877
SRR5665031,2,0
SRR5665031,3,6908.735869341759
SRR5665031,4,1390.4308114381865
SRR5665031,5,53.35910633027088
SRR5665031,6,187.28075145208936
SRR5665031,7,67.5477802072504
SRR5665031,8,13550.1567291462
SRR5665031,9,277.85786565830284
SRR5665031,10,0
SRR5665031,11,0
SRR5665031,12,14878.696681386302
SRR5665031,13,0
SRR5665031,14,10476.676603794971
SRR5665031,15,0
SRR5665031,16,0
SRR5665031,17,9394.155625898302
SRR5665031,18,46.422635629866114
SRR5665031,19,552.0113331778313
